id,country_code,lang,user,tweet_text_orginal,tweet_text_en,tweet_date,context_annotations
1232160969893113856,FI,fi,"Response(data=<User id=81376907 name=Chachi Hildén username=chachigonzales>, includes={}, errors=[], meta={})","https://t.co/EBmvI4F5ZE
Just me and my bean 👶🏼 she’s given me her first real laughs today 😍😭 I cant believe she is 3 months tomorrow! 😩 https://t.co/n62jP0LbwM",just me and my bean she’s given me her first real laughs today i cant believe she is months tomorrow,2020-02-25 04:30:42+00:00,[]
1232363313906016256,FI,fi,"Response(data=<User id=36048614 name=Alexander Stubb username=alexstubb>, includes={}, errors=[], meta={})","@Karinoshka @MSCI_Inc Simple answer: the European Union. The @EU_Commission Green Deal provides the political direction, regulation and tools. The @EIB provides the financial instruments. Never underestimate the capacity of a regulatory superpower to take the lead...",simple answer the european union the green deal provides the political direction regulation and tools the provides the financial instruments never underestimate the capacity of a regulatory superpower to take the lead,2020-02-25 17:54:44+00:00,[]
1232316647836274692,FI,fi,"Response(data=<User id=36048614 name=Alexander Stubb username=alexstubb>, includes={}, errors=[], meta={})","The #Coronavirius is naturally a global problem. The question is: can the global community find a common solution to contain it? Open, fact-based exchange of information is a good start. Mass-hysteria and knee-jerk reactions would simply be bad governance and leadership.",the #coronavirius is naturally a global problem the question is can the global community find a common solution to contain it open factbased exchange of information is a good start masshysteria and kneejerk reactions would simply be bad governance and leadership,2020-02-25 14:49:18+00:00,[]
1232425551354322946,FI,fi,"Response(data=<User id=23502747 name=Yle Uutiset username=yleuutiset>, includes={}, errors=[], meta={})","Tutkintalautakunta moittii Teslaa ja viranomaisia vuoden 2018 onnettomuudesta – auto oli automaattiohjauksella, kuljettaja pelasi videopeliä https://t.co/TwLBOLECiE",the investigation board criticizes tesla and authorities for the accident the car was in autopilot the driver played video game,2020-02-25 22:02:03+00:00,[]
1232400885671657474,FI,fi,"Response(data=<User id=23502747 name=Yle Uutiset username=yleuutiset>, includes={}, errors=[], meta={})",Jorosen ja Skrabbin seuralle sakot fanien koronahuutelusta https://t.co/0TAC2wsqnE,for joronen and skramb society fines for fans corona checkers,2020-02-25 20:24:02+00:00,[]
1232398871550189568,FI,fi,"Response(data=<User id=23502747 name=Yle Uutiset username=yleuutiset>, includes={}, errors=[], meta={})",FBI ratsasi raiskauskohun keskellä olevan Peter Nygårdin pääkonttorin New Yorkissa  https://t.co/oBAA5fxpLC,the fbi rode the headquarters of peter nygård in new york in the middle of the rape hood,2020-02-25 20:16:02+00:00,"[{'domain': {'id': '88', 'name': 'Political Body', 'description': 'A section of a government, like The Supreme Court'}, 'entity': {'id': '937710668706299904', 'name': 'Federal Bureau of Investigation', 'description': 'All conversation about the United States Federal Bureau of Investigation'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847878884917886977', 'name': 'Politics', 'description': 'Politics'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '937710668706299904', 'name': 'Federal Bureau of Investigation', 'description': 'All conversation about the United States Federal Bureau of Investigation'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1068583660914266113', 'name': 'Government institutions', 'description': 'Political Body'}}]"
1232394845961977856,FI,fi,"Response(data=<User id=23502747 name=Yle Uutiset username=yleuutiset>, includes={}, errors=[], meta={})","Halla-aho fasismikohun keskelle joutuneesta nuorisojärjestöstä: ""On sietämätöntä, että puolueesta erotetut voivat jatkaa toimintaansa"" https://t.co/Gk2WvnXAS1",hallaaho from the youth organization in the midst of a fascist moon it is unbearable that those separated from the party can continue their activities,2020-02-25 20:00:02+00:00,[]
1232386288327778304,FI,fi,"Response(data=<User id=23502747 name=Yle Uutiset username=yleuutiset>, includes={}, errors=[], meta={})",Keihäskausi rävähti käyntiin – Kuusela heitti jo yli 80 metriä https://t.co/lQh2MP7GfB,the spear season started to start kuusela already threw more than meters,2020-02-25 19:26:02+00:00,[]
1232380752173654016,FI,fi,"Response(data=<User id=23502747 name=Yle Uutiset username=yleuutiset>, includes={}, errors=[], meta={})","Suomalaisvalmentaja koki koronaviruspelon ruokakaupassa Pohjois-Italiassa: ""kyynärpäätekniikka alkoi olla ainoa tekniikka"" https://t.co/bziNfN9th3",the finnish coach experienced a coronafree fear in the grocery store in northern italy elbow technology began to be the only technique,2020-02-25 19:04:02+00:00,[]
1232380249482113030,FI,fi,"Response(data=<User id=23502747 name=Yle Uutiset username=yleuutiset>, includes={}, errors=[], meta={})","Näyttelijä Johannes Holopainen innostui ostamaan taidetta Helene-elokuvan jälkeen: ""Rakkaus kuvataiteeseen on aina ollut olemassa"" https://t.co/uTNIZSboW7",actor johannes holopainen became enthusiastic about buying art after helene love for visual arts has always existed,2020-02-25 19:02:02+00:00,[]
1232375718912364545,FI,fi,"Response(data=<User id=23502747 name=Yle Uutiset username=yleuutiset>, includes={}, errors=[], meta={})",Raportti: Westminster sulki silmänsä lasten seksuaaliselta hyväksikäytöltä – rikokset jatkuivat politiikkapiireissä vuosikymmeniä https://t.co/kt8pGfErrt,report westminster closed his eyes from childrens sexual abuse crimes continued in politics for decades,2020-02-25 18:44:02+00:00,[]
1232373706384723969,FI,fi,"Response(data=<User id=23502747 name=Yle Uutiset username=yleuutiset>, includes={}, errors=[], meta={})",Syyttäjä: Häkkäsen ex-avustaja palautti kahdelta yrittäjältä saamansa rahat vasta poliisitutkinnan alettua https://t.co/KmHtO1zw6Z,prosecutor häkkänens exassistant returned the money he received from two entrepreneurs only after the police investigation began,2020-02-25 18:36:02+00:00,[]
1232367664758185984,FI,fi,"Response(data=<User id=23502747 name=Yle Uutiset username=yleuutiset>, includes={}, errors=[], meta={})","Äidit ja isät kertovat kokemuksiaan osastosta, jonka potilasturvallisuus on kyseenalaistettu – apua sai monen mielestä odottamalla odottaa https://t.co/MJ4yBpNTi1",mothers and fathers tell their experiences of the department whose patient safety has been questioned many thought to wait for help,2020-02-25 18:12:02+00:00,[]
1232363639350464513,FI,fi,"Response(data=<User id=23502747 name=Yle Uutiset username=yleuutiset>, includes={}, errors=[], meta={})","Koronavirus heijastuu myös suomalaisten kauppojen hyllyille – pulaa voi tulla puhelimista ja tietokoneista: ""Nyt pitää myydä sitä, mitä on"" https://t.co/OZW5q6TdZO",the coronavirus is also reflected on the shelves of finnish stores a shortage of phones and computers now you have to sell what is,2020-02-25 17:56:02+00:00,[]
1232362129803661312,FI,fi,"Response(data=<User id=23502747 name=Yle Uutiset username=yleuutiset>, includes={}, errors=[], meta={})","Erakon askeettinen ja luonnonläheinen elämäntapa herättää kunnioitusta, mutta myös pelkoa – tällainen on nykyerakko https://t.co/xkbT6e9lPn",the ascetic and natural lifestyle of the hermit arouses respect but also fear this is the current one,2020-02-25 17:50:02+00:00,[]
1232361625291763712,FI,fi,"Response(data=<User id=23502747 name=Yle Uutiset username=yleuutiset>, includes={}, errors=[], meta={})",Työaikajousto on Saksan talouden puskuri ja menestyksen salaisuus – rautavalimossa tilauskannan hiipuminen tarkoittaa vähemmän töitä ja vähemmän palkkaa https://t.co/Sb0mLTFz8R,working time flexibility is the german economy bumper and the secret of success in the iron foundry the decline in ordering stock means less work and less salary,2020-02-25 17:48:02+00:00,[]
1232361121652363264,FI,fi,"Response(data=<User id=23502747 name=Yle Uutiset username=yleuutiset>, includes={}, errors=[], meta={})","Kilpailu saa vuokranantajat etsimään keinoja erottautua ilmoituksissa: virtuaalisia sohvia, drone-kuvia ja videopelimäisiä esittelyitä https://t.co/2vGTMBT0O9",competition makes landlords looking for ways to distinguish in advertisements virtual sofas drone pictures and video game presentations,2020-02-25 17:46:02+00:00,[]
1232360618663043072,FI,fi,"Response(data=<User id=23502747 name=Yle Uutiset username=yleuutiset>, includes={}, errors=[], meta={})","Uefa: Koronavirus voi vaikuttaa jalkapallon EM-kisoihin vain, jos tilanne pahenee https://t.co/wsRq3jVuOB",uefa the coronavirus can only affect the european football championships if the situation gets worse,2020-02-25 17:44:02+00:00,[]
1232351057050771456,FI,fi,"Response(data=<User id=23502747 name=Yle Uutiset username=yleuutiset>, includes={}, errors=[], meta={})",EU on valmis aloittamaan neuvottelut tulevasta suhteesta Britannian kanssa ensi viikolla https://t.co/eZd0maYvCm,the eu is ready to start negotiations on the future relationship with britain next week,2020-02-25 17:06:02+00:00,[]
1232346526741073920,FI,fi,"Response(data=<User id=23502747 name=Yle Uutiset username=yleuutiset>, includes={}, errors=[], meta={})","Kymmenen ihmisen ryhmä testaa pohjoisessa, millaista on elämä kivikaudella – leirissä mukana myös 2-vuotias lapsi https://t.co/rUMFahZD69",a group of ten people test in the north what life is like during the stone agea yearold child in the camp,2020-02-25 16:48:02+00:00,[]
1232338471894822915,FI,fi,"Response(data=<User id=23502747 name=Yle Uutiset username=yleuutiset>, includes={}, errors=[], meta={})",Fasistiksi itseään kutsunut PS-nuorten varapuheenjohtaja Toni Jalonen eroaa tehtävästään https://t.co/EiPaYrI7gE,toni jalonen vicepresident of ps youth who calls himself a fascist is different from his job,2020-02-25 16:16:02+00:00,[]
1232335452633542657,FI,fi,"Response(data=<User id=23502747 name=Yle Uutiset username=yleuutiset>, includes={}, errors=[], meta={})",Hallitus koolle koronaviruksen takia https://t.co/Zi7kEBrefd,board of directors to assemble due to coronavirus,2020-02-25 16:04:02+00:00,[]
1232328909783523330,FI,fi,"Response(data=<User id=23502747 name=Yle Uutiset username=yleuutiset>, includes={}, errors=[], meta={})","Petra Ollin valmentaja alkoi jo lähes vuosi sitten nähdä merkkejä uran loppumisesta, mutta päätös oli silti yllätys: ""Se ei ollut hänen tapaistaan"" https://t.co/ihyf1Y4InP",almost a year ago petra ollis coach started to see signs of the end of her career but the decision was still a surprise it wasnt like her,2020-02-25 15:38:02+00:00,[]
1232328406735425538,FI,fi,"Response(data=<User id=23502747 name=Yle Uutiset username=yleuutiset>, includes={}, errors=[], meta={})",Puna-armeijan viimeinen sotamarsalkka on kuollut https://t.co/2NCc9jf4Qj,the last marshal of the red army is dead,2020-02-25 15:36:02+00:00,[]
